,Zip Code,Beds,Baths,Median Household Income(1k),Area Living Space(sqm),Price_p_living,Area_bath_sqm,Living_space,Price(1k)
69,75205,3,3,315.307,158.585421,4.571038090569498,52.861807,6,724.9
70,75205,6,7,315.307,571.910868,7.5169055888617935,81.70155257142858,13,4299.0
71,75205,4,5,315.307,311.132147,5.78210904063218,62.226429399999994,9,1799.0
72,75205,5,8,315.307,572.561189,7.508367808702451,71.570148625,13,4299.0
73,75205,5,6,315.307,525.459368,7.012911415064922,87.57656133333334,11,3685.0
74,75205,4,5,315.307,434.135719,10.584247733829061,86.8271438,9,4595.0
75,75205,4,5,315.307,329.526941,6.448638140333418,65.9053882,9,2125.0
76,75205,5,7,315.307,658.775173,18.974606986289693,94.110739,12,12500.0
77,75205,3,2,315.307,230.585246,9.016188312412668,115.292623,5,2079.0
78,75205,2,3,315.307,212.46916099999999,2.7062751003191474,70.82305366666667,5,575.0
79,75205,4,4,315.307,364.365566,4.937349101753485,91.0913915,8,1799.0
80,75206,5,5,126.636,324.881791,4.924868196137222,64.9763582,10,1600.0
81,75206,2,3,126.636,154.126077,3.8215466938797125,51.375359,5,589.0
82,75206,4,6,126.636,394.373235,5.806682088859301,65.72887250000001,10,2290.0
83,75206,2,2,126.636,113.062951,3.493628960737103,56.5314755,4,395.0
84,75206,3,2,126.636,151.338987,5.187030887156658,75.6694935,5,785.0
85,75206,3,3,126.636,285.676725,3.391945913689679,95.22557499999999,6,969.0
86,75206,2,2,126.636,124.118408,4.027605639285995,62.059204,4,499.9
87,75206,2,3,126.636,89.372686,3.6912843818971712,29.790895333333335,5,329.9
88,75206,6,10,126.636,743.409806,3.6319133514362063,74.3409806,16,2700.0
89,75206,4,5,126.636,391.307436,4.9832940051770445,78.2614872,9,1950.0
90,75206,4,4,126.636,390.099697,3.8323536559937397,97.52492425,8,1495.0
91,75206,2,2,126.636,92.903,3.213028642777951,46.4515,4,298.5
92,75206,2,3,126.636,187.478254,3.067022375832453,62.49275133333333,5,575.0
93,75206,2,3,126.636,172.613774,3.794598685965814,57.53792466666667,5,655.0
94,75206,4,3,126.636,263.287102,3.608228404595376,87.76236733333333,7,950.0
95,75206,3,4,126.636,188.407284,3.4446651223951616,47.101821,7,649.0
96,75206,3,3,126.636,305.65087,3.843928204752043,101.88362333333333,6,1174.9
